case,replica,ensemble,time_fs,temperature_k,potential_energy_ev_per_atom,total_energy_ev_per_atom,max_force_ev_per_angstrom,nearest_neighbor_distance_angstrom,rms_displacement_angstrom
ambient_fcc,2,nve,40,39.4387628504,-3.71260762215,-3.70766907733,0.796882460757,2.70204109175,0.106748670342
ambient_fcc,2,nve,45,52.8191608119,-3.71428394318,-3.70766989715,0.755908222821,2.70704079688,0.108844597041
ambient_fcc,2,nve,50,75.3739465508,-3.71710920334,-3.70767083392,0.683859960153,2.71648284196,0.108504986468
ambient_fcc,2,nve,55,100.257191072,-3.72022533417,-3.70767107041,0.591571763998,2.73042182666,0.106623298965
ambient_fcc,2,nve,60,122.103845337,-3.72296118736,-3.70767127285,0.503622948763,2.74436200557,0.104110253
ambient_fcc,2,nve,65,137.750581885,-3.72492051125,-3.70767130329,0.438469025997,2.74861890062,0.101758612249
ambient_fcc,2,nve,70,146.087278612,-3.72596502304,-3.70767188907,0.49654584915,2.74534505481,0.100121923622
ambient_fcc,2,nve,75,147.68905352,-3.72616481781,-3.70767110865,0.554906725987,2.74152306023,0.099432429474
ambient_fcc,2,nve,80,144.444051327,-3.72575831413,-3.70767094604,0.600828980233,2.73862571301,0.0995978614557
ambient_fcc,2,nve,85,139.054899944,-3.72508358955,-3.70767105413,0.628181282594,2.73755690283,0.100294229713
ambient_fcc,2,nve,90,134.324965523,-3.72449088097,-3.70767063068,0.63411862212,2.73878653101,0.101119268611
ambient_fcc,2,nve,95,132.367315922,-3.72424602509,-3.70767091282,0.651486039156,2.74188961473,0.101741908198
ambient_fcc,2,nve,100,134.030661446,-3.72445368767,-3.70767029031,0.646239358039,2.7474950711,0.101999209539
ambient_fcc,2,nve,105,138.785137233,-3.72504901886,-3.70767026328,0.594493570997,2.75182188162,0.101925264711
ambient_fcc,2,nve,110,145.096643078,-3.72583985329,-3.70767076727,0.5463608503,2.75660074432,0.10171925085
ambient_fcc,2,nve,115,151.077284557,-3.72658896446,-3.70767097904,0.554694892443,2.75992096617,0.101670511196
ambient_fcc,2,nve,120,155.091210312,-3.72709178925,-3.70767117771,0.554590306883,2.76064630615,0.102064789686
compressed_fcc,0,nvt,5,323.692364053,-3.37348461151,-3.33295166547,1.89701130262,2.52606149279,0
compressed_fcc,0,nvt,10,297.826048081,-3.37427091599,-3.33697696507,2.053505341,2.52921024954,0.0259123914819
compressed_fcc,0,nvt,15,286.213114897,-3.37576699257,-3.3399272199,2.04802404736,2.53188577363,0.0499676646472
compressed_fcc,0,nvt,20,344.485194538,-3.37847828865,-3.33534165229,1.84854855856,2.53724121367,0.0728962468108
compressed_fcc,0,nvt,25,349.605267762,-3.37981390953,-3.33603613462,1.50779797673,2.5382039473,0.095390964223
compressed_fcc,0,nvt,30,364.380094592,-3.3784661293,-3.33283824198,1.62621330044,2.54044352216,0.11620865389
compressed_fcc,0,nvt,35,357.140152944,-3.37566256523,-3.33094126762,1.85757032971,2.53962502794,0.134776866421
compressed_fcc,0,nvt,40,343.945111248,-3.37252688408,-3.32945787726,1.89757349134,2.53700554694,0.150405499987
compressed_fcc,0,nvt,45,316.60906246,-3.37102365494,-3.33137768404,1.7670305882,2.53559626168,0.162796333931
compressed_fcc,0,nvt,50,338.510889896,-3.37160015106,-3.3292116206,1.61061366298,2.53684052041,0.170851975221
compressed_fcc,0,nvt,55,329.384909831,-3.37208533287,-3.33083956294,1.77173248536,2.53547685057,0.173996166742
compressed_fcc,0,nvt,60,340.959283718,-3.37020254135,-3.32750742159,1.88362702678,2.52729183319,0.17403816516
compressed_fcc,0,nvt,65,298.913976281,-3.36706280708,-3.32963262517,1.90019074573,2.51652748697,0.172623518526
compressed_fcc,0,nvt,70,293.644204793,-3.36681103706,-3.330040739,1.77386268617,2.5134859569,0.168725554487
compressed_fcc,0,nvt,75,298.058572414,-3.36872982979,-3.33140676204,1.76122183464,2.51918593248,0.163192991957
compressed_fcc,0,nvt,80,342.179533038,-3.3731713295,-3.33032340941,1.83015048866,2.53209310274,0.155762105903
compressed_fcc,0,nvt,85,382.881794584,-3.37705039978,-3.32910571883,1.92729515622,2.53826215886,0.146412784658
compressed_fcc,0,nvt,90,402.07982304,-3.37800931931,-3.32766065007,2.09185730172,2.53594744991,0.137092633999
compressed_fcc,0,nvt,95,399.32924671,-3.37691307068,-3.32690883021,2.13945990682,2.53803403891,0.129169333109
compressed_fcc,0,nvt,100,381.414987534,-3.37693190575,-3.32917089923,1.99985283266,2.53894539626,0.122925267217
compressed_fcc,0,nvt,105,400.605322359,-3.37793111801,-3.32776708661,1.63974957919,2.53719118885,0.119621712633
compressed_fcc,0,nvt,110,353.329639229,-3.37744998932,-3.33320584645,1.5209069586,2.53628424327,0.119617642664
compressed_fcc,0,nvt,115,349.214317987,-3.37533593178,-3.33160711182,1.96137347416,2.53091834804,0.120314044838
compressed_fcc,0,nvt,120,323.702319459,-3.37125253677,-3.33071834411,2.0489850653,2.52156818574,0.12191415235
compressed_fcc,0,nve,5,250.347657186,-3.41232585907,-3.38097717987,0.501334117386,2.60116379711,0
compressed_fcc,0,nve,10,179.314987353,-3.40342760086,-3.38097367388,0.905421710645,2.5720874353,0.0220160527687
compressed_fcc,0,nve,15,101.063443255,-3.39362692833,-3.3809717052,1.17274311552,2.55102653422,0.0394640984128
compressed_fcc,0,nve,20,51.264363906,-3.38738942146,-3.38097006801,1.28943826305,2.54037990408,0.0512274748846
compressed_fcc,0,nve,25,46.3592646584,-3.38677501678,-3.38096988271,1.29903215111,2.54066685214,0.0573783951958
compressed_fcc,0,nve,30,76.9577802018,-3.39060950279,-3.38097280481,1.18340584143,2.54832774554,0.0592279476132
compressed_fcc,0,nve,35,117.323681907,-3.39566659927,-3.38097525961,0.956072010371,2.55902728889,0.0590114550788
compressed_fcc,0,nve,40,143.502699196,-3.39894628525,-3.38097679381,0.820520869579,2.56881370781,0.0590132634546
compressed_fcc,0,nve,45,147.258919817,-3.39941501617,-3.38097516861,0.927712419349,2.57036378861,0.060342747606
compressed_fcc,0,nve,50,137.434641927,-3.39818382263,-3.38097417686,1.23658146885,2.56903333232,0.0624526756041
compressed_fcc,0,nve,55,130.264323726,-3.39728498459,-3.38097321023,1.37069663275,2.56883774145,0.0640132104223
compressed_fcc,0,nve,60,136.954423369,-3.39812278748,-3.38097327495,1.31151984136,2.5726707688,0.0641291801268
compressed_fcc,0,nve,65,156.846541407,-3.40061426163,-3.38097384651,1.15547249896,2.58017499679,0.0629630663889
compressed_fcc,0,nve,70,179.460349192,-3.40344715118,-3.38097502191,1.08525486504,2.58344716791,0.0617085575354
compressed_fcc,0,nve,75,192.428006805,-3.40507102013,-3.38097507322,1.03941593224,2.58156155326,0.0619964021581
compressed_fcc,0,nve,80,188.796123397,-3.40461802483,-3.38097686448,0.845773327167,2.57568404507,0.0648738239005
compressed_fcc,0,nve,85,169.290879872,-3.40217280388,-3.38097410146,0.928758834903,2.56844208503,0.0700938733242
compressed_fcc,0,nve,90,140.328161499,-3.39854621887,-3.38097424489,1.10259098616,2.56329050615,0.0764038451988
compressed_fcc,0,nve,95,110.901496663,-3.39486169815,-3.38097454825,1.26332518336,2.55466048864,0.0823209961687
