case,integrator,time_fs,volume_angstrom3,volume_ratio,pressure_pa,temperature_k,total_energy_ev_per_atom
flexible_tau_1000fs,baoab_npt_langevin,1240,11085.6123047,1.09842918664,2729655.71304,101.563270075,-0.0511198863387
flexible_tau_1000fs,baoab_npt_langevin,1260,11091.2070312,1.09898354582,1765041.53947,102.9757509,-0.0509096514434
flexible_tau_1000fs,baoab_npt_langevin,1280,11094.8378906,1.09934331322,-1573637.93197,100.699181178,-0.0513110924512
flexible_tau_1000fs,baoab_npt_langevin,1300,11099.8808594,1.09984300091,-6661746.03403,95.8458023069,-0.0521256923676
flexible_tau_1000fs,baoab_npt_langevin,1320,11096.5595703,1.0995139076,-10635010.523,96.616805987,-0.0522507913411
flexible_tau_1000fs,baoab_npt_langevin,1340,11093.1962891,1.09918065345,-14179596.1464,93.3475828604,-0.0528904320672
flexible_tau_1000fs,baoab_npt_langevin,1360,11091.5292969,1.09901547784,-16846890.1679,93.0151480569,-0.05309344735
flexible_tau_1000fs,baoab_npt_langevin,1380,11093.8105469,1.09924151782,-19578552.0292,94.2695380824,-0.0530521124601
flexible_tau_1000fs,baoab_npt_langevin,1400,11097.890625,1.09964579651,-23070353.2792,99.617355767,-0.0525119015947
flexible_tau_1000fs,baoab_npt_langevin,1420,11102.0009766,1.10005307488,-24311742.6377,100.449524153,-0.0524374404922
